iter	Passed	Remaining
0	0	673
1	1	624
2	1	588
3	2	571
4	2	563
5	3	563
6	3	558
7	4	554
8	5	553
9	5	549
10	6	545
11	6	540
12	7	539
13	7	538
14	8	536
15	8	535
16	9	535
17	9	534
18	10	533
19	10	533
20	11	532
21	11	531
22	12	529
23	13	528
24	13	527
25	14	526
26	14	524
27	15	525
28	15	525
29	16	524
30	16	522
31	17	522
32	17	522
33	18	521
34	18	520
35	19	519
36	19	518
37	20	517
38	20	515
39	21	514
40	22	515
41	22	515
42	23	514
43	23	513
44	24	513
45	24	511
46	25	510
47	25	509
48	26	509
49	26	508
50	27	507
51	27	507
52	28	506
53	28	505
54	29	504
55	29	504
56	30	506
57	31	505
58	31	505
59	32	504
60	32	503
61	33	502
62	33	502
63	34	501
64	34	500
65	35	499
66	35	499
67	36	498
68	36	497
69	37	496
70	37	495
71	38	495
72	38	494
73	39	493
74	39	492
75	40	491
76	41	491
77	41	491
78	42	490
79	42	489
80	43	489
81	43	488
82	43	485
83	44	484
84	44	484
85	45	484
86	46	483
87	46	483
88	47	483
89	47	482
90	48	481
91	48	481
92	49	480
93	49	479
94	50	479
95	50	478
96	51	477
97	51	476
98	52	475
99	52	475
100	53	474
101	53	473
102	54	473
103	54	472
104	55	471
105	55	470
106	56	470
107	56	470
108	57	469
109	57	469
110	58	468
111	59	468
112	59	467
113	60	467
114	60	467
115	61	466
116	61	465
117	62	465
118	62	465
119	63	465
120	64	466
121	64	464
122	65	464
123	65	464
124	66	464
125	66	463
126	67	461
127	67	460
128	68	459
129	68	458
130	68	457
131	69	455
132	69	454
133	70	453
134	70	453
135	71	452
136	71	451
137	72	450
138	72	449
139	73	448
140	73	447
141	73	445
142	74	444
143	74	443
144	75	442
145	75	442
146	76	441
147	76	441
148	77	440
149	77	440
150	78	439
151	78	439
152	79	438
153	79	438
154	80	437
155	80	437
156	81	437
157	82	437
158	82	436
159	82	435
160	83	433
161	83	432
162	84	431
163	84	432
164	85	431
165	85	430
166	86	429
167	86	428
168	87	428
169	87	427
170	87	426
171	88	425
172	88	424
173	89	423
174	89	423
175	90	422
176	90	422
177	91	422
178	92	421
179	92	421
180	92	420
181	93	420
182	93	419
183	94	418
184	94	417
185	95	417
186	95	416
187	96	415
188	96	414
189	97	413
190	97	412
191	98	412
192	98	411
193	98	410
194	99	410
195	99	409
196	100	408
197	100	407
198	101	406
199	101	406
200	101	405
201	102	404
202	102	403
203	103	403
204	103	402
205	104	401
206	104	400
207	105	400
208	105	399
209	106	399
210	106	398
211	107	398
212	107	397
213	108	396
214	108	396
215	108	395
216	109	394
217	109	393
218	110	393
219	110	392
220	111	391
221	111	390
222	112	390
223	112	389
224	112	388
225	113	388
226	113	387
227	114	386
228	114	386
229	115	385
230	115	384
231	115	383
232	116	383
233	116	382
234	117	381
235	117	381
236	118	380
237	118	379
238	118	378
239	119	378
240	119	377
241	120	377
242	120	376
243	121	376
244	121	375
245	122	374
246	122	374
247	123	373
248	123	372
249	124	372
250	124	371
251	124	370
252	125	370
253	126	370
254	126	370
255	127	370
256	127	369
257	128	369
258	129	369
259	129	369
260	130	368
261	130	368
262	131	368
263	131	367
264	132	367
265	133	367
266	133	367
267	134	366
268	135	367
269	135	366
270	136	366
271	136	365
272	137	365
273	137	364
274	137	363
275	138	363
276	138	362
277	139	361
278	139	361
279	140	361
280	141	361
281	141	360
282	142	360
283	142	359
284	143	359
285	144	359
286	144	359
287	145	358
288	145	358
289	146	358
290	146	357
291	147	357
292	148	357
293	148	356
294	149	356
295	149	356
296	150	356
297	151	355
298	151	355
299	152	355
300	152	354
301	153	354
302	153	354
303	154	353
304	155	353
305	155	353
306	156	352
307	156	352
308	157	352
309	158	351
310	158	351
311	159	351
312	159	350
313	160	349
314	160	349
315	161	348
316	161	348
317	162	348
318	163	349
319	164	348
320	164	348
321	165	347
322	165	347
323	166	346
324	166	346
325	167	345
326	167	345
327	168	345
328	169	345
329	169	344
330	170	343
331	170	343
332	170	342
333	171	341
334	171	341
335	172	340
336	172	339
337	173	339
338	173	338
339	174	338
340	174	337
341	175	337
342	175	336
343	176	335
344	176	335
345	176	334
346	177	333
347	177	333
348	178	332
349	178	331
350	179	331
351	179	330
352	180	330
353	180	330
354	181	329
355	181	329
356	182	328
357	183	328
358	183	327
359	184	327
360	184	327
361	185	326
362	186	326
363	186	326
364	187	325
365	187	324
366	188	324
367	188	323
368	188	323
369	189	322
370	189	321
371	190	321
372	190	320
373	191	320
374	192	320
375	192	319
376	193	319
377	193	319
378	194	318
379	194	318
380	195	317
381	195	316
382	196	316
383	196	315
384	197	315
385	197	314
386	198	314
387	198	313
388	199	313
389	199	312
390	200	312
391	201	312
392	202	312
393	202	311
394	203	311
395	203	310
396	204	310
397	204	309
398	205	309
399	206	309
400	206	308
401	207	308
402	207	307
403	208	307
404	208	306
405	209	306
406	210	306
407	210	305
408	211	305
409	212	305
410	212	304
411	213	304
412	213	303
413	214	303
414	214	302
415	215	302
416	215	301
417	216	301
418	217	301
419	217	300
420	218	300
421	218	299
422	219	299
423	220	298
424	220	298
425	221	298
426	221	297
427	222	296
428	222	296
429	223	296
430	223	295
431	224	295
432	225	294
433	225	294
434	226	293
435	226	293
436	227	293
437	228	292
438	228	292
439	229	291
440	229	291
441	230	290
442	230	289
443	230	289
444	231	288
445	231	287
446	232	287
447	232	286
448	233	286
449	233	285
450	234	284
451	234	284
452	235	283
453	235	283
454	235	282
455	236	282
456	236	281
457	237	281
458	238	280
459	239	280
460	239	280
461	240	279
462	240	279
463	241	278
464	241	277
465	242	277
466	242	276
467	242	276
468	243	275
469	243	275
470	244	274
471	244	273
472	245	273
473	245	272
474	246	271
475	246	271
476	246	270
477	247	270
478	247	269
479	248	269
480	248	268
481	249	268
482	249	267
483	250	266
484	250	266
485	251	265
486	251	265
487	252	264
488	252	264
489	253	263
490	253	263
491	254	262
492	254	261
493	255	261
494	255	260
495	256	260
496	256	259
497	257	259
498	257	258
499	258	258
500	258	257
501	259	257
502	259	256
503	260	256
504	260	255
505	261	255
506	261	254
507	262	253
508	262	253
509	263	252
510	263	252
511	263	251
512	264	251
513	264	250
514	265	249
515	265	249
516	266	248
517	266	248
518	267	247
519	267	247
520	268	246
521	268	246
522	269	245
